trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,traffic_condition,weather_condition,fare_amount
3.75,12.28,3.0,22,0,High,Cloudy,22.17
10.53,27.46,2.0,17,0,High,Clear,53.86
7.3,11.46,1.0,4,1,Low,Cloudy,22.12
1.36,1.99,1.0,15,0,Medium,Cloudy,9.99
1.36,2.8,2.0,13,0,Very High,Rainy,11.93
0.5,4.25,2.0,18,0,Low,Cloudy,6.79
16.09,26.33,1.0,13,0,Low,Rainy,45.53
7.35,15.07,1.0,8,0,High,Clear,35.45
9.85,20.42,2.0,5,0,Medium,Rainy,41.83
0.5,1.0,1.0,16,0,High,Cloudy,3.36
1.91,7.36,1.0,3,0,High,Clear,14.93
1.61,4.22,3.0,15,0,High,Clear,11.77
1.62,2.77,2.0,10,1,Medium,Clear,8.71
2.9,5.53,3.0,21,0,Medium,Clear,11.98
5.95,15.97,1.0,3,1,High,Rainy,35.62
4.52,10.05,3.0,16,0,Medium,Rainy,19.71
2.75,6.36,1.0,7,1,High,Rainy,17.72
7.57,10.47,1.0,13,0,Medium,Clear,28.26
1.2,1.0,1.0,1,0,Low,Clear,5.77
2.76,5.63,4.0,10,0,Medium,Cloudy,10.5
3.65,3.11,2.0,10,1,Low,Foggy,11.44
4.87,10.27,1.0,23,0,High,Rainy,28.79
12.3,28.14,1.0,21,0,High,Clear,54.64
1.78,6.82,1.0,23,0,Low,Cloudy,9.57
5.78,11.08,1.0,5,0,Medium,Clear,23.88
7.18,18.13,2.0,20,0,High,Clear,36.87
0.5,2.17,2.0,20,0,High,Clear,9.96
7.48,9.18,5.0,13,0,Medium,Foggy,27.75
1.5,10.58,5.0,9,0,Medium,Cloudy,9.87
0.54,1.0,2.0,7,1,High,Clear,9.48
13.22,29.89,1.0,7,1,High,Clear,60.21
2.91,6.24,1.0,22,0,High,Cloudy,21.29
0.82,1.0,2.0,1,0,Very High,Clear,8.77
9.22,21.64,5.0,15,1,High,Cloudy,44.02
4.64,6.88,4.0,8,0,Low,Clear,16.23
1.04,1.89,1.0,12,0,Low,Rainy,4.14
5.47,9.21,1.0,22,1,Low,Clear,17.51
0.5,1.22,3.0,11,1,Low,Clear,4.19
19.2,29.56,3.0,21,0,Low,Clear,45.5
2.4,6.72,1.0,16,0,Medium,Cloudy,11.11
8.69,9.74,2.0,1,0,Low,Rainy,27.96
2.99,7.01,2.0,12,0,Medium,Clear,11.01
5.87,11.56,1.0,0,0,High,Clear,28.32
6.33,13.43,1.0,18,0,High,Rainy,35.55
1.64,4.92,4.0,10,1,Very High,Rainy,15.27
11.94,23.45,1.0,0,0,Medium,Cloudy,43.49
7.29,12.83,4.0,7,0,Medium,Cloudy,29.48
20.4,29.16,1.0,5,0,Low,Rainy,57.56
0.74,1.0,6.0,16,1,Low,Clear,5.47
1.75,1.33,1.0,11,0,High,Clear,7.6
0.5,1.0,2.0,0,1,High,Rainy,9.25
3.15,6.53,2.0,2,0,Medium,Clear,16.73
3.94,8.6,1.0,13,0,Medium,Cloudy,14.29
2.53,3.02,1.0,7,0,Medium,Clear,11.06
14.12,18.9,4.0,10,0,Low,Clear,36.32
3.53,9.64,2.0,13,1,Very High,Clear,21.44
2.64,6.33,1.0,7,1,High,Foggy,19.07
6.26,9.92,1.0,2,0,Low,Foggy,19.58
1.22,1.0,1.0,6,0,Low,Clear,6.76
12.96,23.97,1.0,18,0,Medium,Clear,45.64
0.62,4.06,5.0,3,1,Low,Clear,8.49
11.84,27.47,5.0,12,0,High,Clear,55.76
1.77,4.32,1.0,19,0,Medium,Clear,10.6
0.5,1.0,2.0,18,0,Low,Rainy,6.85
13.52,32.66,1.0,4,0,High,Rainy,70.54
9.82,15.73,3.0,22,0,Medium,Clear,35.76
10.45,20.86,1.0,4,0,Medium,Cloudy,38.45
11.8,22.21,1.0,19,1,Medium,Cloudy,40.72
0.62,1.0,2.0,23,0,Low,Clear,5.01
3.55,9.63,1.0,3,0,High,Rainy,25.98
0.99,1.0,2.0,1,1,Medium,Clear,6.75
15.91,23.56,2.0,12,0,Low,Clear,39.73
7.81,12.98,2.0,15,0,Low,Clear,20.73
3.21,4.09,6.0,21,0,Medium,Foggy,14.37
0.53,1.0,1.0,1,0,High,Cloudy,10.04
2.98,7.84,1.0,18,0,Medium,Clear,16.07
3.15,3.18,3.0,16,0,High,Rainy,18.57
10.46,18.53,2.0,4,1,Low,Clear,30.49
8.12,12.3,1.0,17,0,Medium,Foggy,31.78
5.11,10.58,1.0,20,0,High,Cloudy,29.22
1.02,3.12,1.0,17,1,Medium,Rainy,8.92
