trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,fare_amount,traffic_condition_High,traffic_condition_Low,traffic_condition_Medium,traffic_condition_Very High,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Foggy,weather_condition_Rainy,weather_condition_Snowy
3.75,12.28,3.0,22,0,22.17,1,0,0,0,0,1,0,0,0
10.53,27.46,2.0,17,0,53.86,1,0,0,0,1,0,0,0,0
7.3,11.46,1.0,4,1,22.12,0,1,0,0,0,1,0,0,0
1.36,1.99,1.0,15,0,9.99,0,0,1,0,0,1,0,0,0
1.36,2.8,2.0,13,0,11.93,0,0,0,1,0,0,0,1,0
0.5,4.25,2.0,18,0,6.79,0,1,0,0,0,1,0,0,0
16.09,26.33,1.0,13,0,45.53,0,1,0,0,0,0,0,1,0
7.35,15.07,1.0,8,0,35.45,1,0,0,0,1,0,0,0,0
9.85,20.42,2.0,5,0,41.83,0,0,1,0,0,0,0,1,0
0.5,1.0,1.0,16,0,3.36,1,0,0,0,0,1,0,0,0
1.91,7.36,1.0,3,0,14.93,1,0,0,0,1,0,0,0,0
1.61,4.22,3.0,15,0,11.77,1,0,0,0,1,0,0,0,0
1.62,2.77,2.0,10,1,8.71,0,0,1,0,1,0,0,0,0
2.9,5.53,3.0,21,0,11.98,0,0,1,0,1,0,0,0,0
5.95,15.97,1.0,3,1,35.62,1,0,0,0,0,0,0,1,0
4.52,10.05,3.0,16,0,19.71,0,0,1,0,0,0,0,1,0
2.75,6.36,1.0,7,1,17.72,1,0,0,0,0,0,0,1,0
7.57,10.47,1.0,13,0,28.26,0,0,1,0,1,0,0,0,0
1.2,1.0,1.0,1,0,5.77,0,1,0,0,1,0,0,0,0
2.76,5.63,4.0,10,0,10.5,0,0,1,0,0,1,0,0,0
3.65,3.11,2.0,10,1,11.44,0,1,0,0,0,0,1,0,0
4.87,10.27,1.0,23,0,28.79,1,0,0,0,0,0,0,1,0
12.3,28.14,1.0,21,0,54.64,1,0,0,0,1,0,0,0,0
1.78,6.82,1.0,23,0,9.57,0,1,0,0,0,1,0,0,0
5.78,11.08,1.0,5,0,23.88,0,0,1,0,1,0,0,0,0
7.18,18.13,2.0,20,0,36.87,1,0,0,0,1,0,0,0,0
0.5,2.17,2.0,20,0,9.96,1,0,0,0,1,0,0,0,0
7.48,9.18,5.0,13,0,27.75,0,0,1,0,0,0,1,0,0
1.5,10.58,5.0,9,0,9.87,0,0,1,0,0,1,0,0,0
0.54,1.0,2.0,7,1,9.48,1,0,0,0,1,0,0,0,0
13.22,29.89,1.0,7,1,60.21,1,0,0,0,1,0,0,0,0
2.91,6.24,1.0,22,0,21.29,1,0,0,0,0,1,0,0,0
0.82,1.0,2.0,1,0,8.77,0,0,0,1,1,0,0,0,0
9.22,21.64,5.0,15,1,44.02,1,0,0,0,0,1,0,0,0
4.64,6.88,4.0,8,0,16.23,0,1,0,0,1,0,0,0,0
