trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,traffic_condition,weather_condition,fare_amount,avg_speed_kmh,is_peak_hour,is_night_ride,fare_per_km,duration_per_km,distance_bucket,hour_period
3.75,12.28,3.0,22,0,High,Cloudy,22.17,18.32,0,1,5.912,3.2747,0,3
10.53,27.46,2.0,17,0,High,Clear,53.86,23.01,1,0,5.1149,2.6078,1,2
7.3,11.46,1.0,4,1,Low,Cloudy,22.12,38.22,0,1,3.0301,1.5699,1,0
1.36,1.99,1.0,15,0,Medium,Cloudy,9.99,41.01,0,0,7.3456,1.4632,0,2
1.36,2.8,2.0,13,0,Very High,Rainy,11.93,29.14,0,0,8.7721,2.0588,0,2
0.5,4.25,2.0,18,0,Low,Cloudy,6.79,7.06,1,0,13.58,8.5,0,3
16.09,26.33,1.0,13,0,Low,Rainy,45.53,36.67,0,0,2.8297,1.6364,2,2
7.35,15.07,1.0,8,0,High,Clear,35.45,29.26,1,0,4.8231,2.0503,1,1
9.85,20.42,2.0,5,0,Medium,Rainy,41.83,28.94,0,1,4.2467,2.0731,1,0
0.5,1.0,1.0,16,0,High,Cloudy,3.36,30.0,0,0,6.72,2.0,0,2
1.91,7.36,1.0,3,0,High,Clear,14.93,15.57,0,1,7.8168,3.8534,0,0
1.61,4.22,3.0,15,0,High,Clear,11.77,22.89,0,0,7.3106,2.6211,0,2
1.62,2.77,2.0,10,1,Medium,Clear,8.71,35.09,0,0,5.3765,1.7099,0,1
2.9,5.53,3.0,21,0,Medium,Clear,11.98,31.46,0,0,4.131,1.9069,0,3
5.95,15.97,1.0,3,1,High,Rainy,35.62,22.35,0,1,5.9866,2.684,1,0
4.52,10.05,3.0,16,0,Medium,Rainy,19.71,26.99,0,0,4.3606,2.2235,0,2
2.75,6.36,1.0,7,1,High,Rainy,17.72,25.94,1,0,6.4436,2.3127,0,1
7.57,10.47,1.0,13,0,Medium,Clear,28.26,43.38,0,0,3.7332,1.3831,1,2
1.2,1.0,1.0,1,0,Low,Clear,5.77,72.0,0,1,4.8083,0.8333,0,0
2.76,5.63,4.0,10,0,Medium,Cloudy,10.5,29.41,0,0,3.8043,2.0399,0,1
3.65,3.11,2.0,10,1,Low,Foggy,11.44,70.42,0,0,3.1342,0.8521,0,1
4.87,10.27,1.0,23,0,High,Rainy,28.79,28.45,0,1,5.9117,2.1088,0,3
12.3,28.14,1.0,21,0,High,Clear,54.64,26.23,0,0,4.4423,2.2878,1,3
1.78,6.82,1.0,23,0,Low,Cloudy,9.57,15.66,0,1,5.3764,3.8315,0,3
5.78,11.08,1.0,5,0,Medium,Clear,23.88,31.3,0,1,4.1315,1.917,1,0
7.18,18.13,2.0,20,0,High,Clear,36.87,23.76,1,0,5.1351,2.5251,1,3
0.5,2.17,2.0,20,0,High,Clear,9.96,13.82,1,0,19.92,4.34,0,3
7.48,9.18,5.0,13,0,Medium,Foggy,27.75,48.89,0,0,3.7099,1.2273,1,2
1.5,10.58,5.0,9,0,Medium,Cloudy,9.87,8.51,1,0,6.58,7.0533,0,1
0.54,1.0,2.0,7,1,High,Clear,9.48,32.4,1,0,17.5556,1.8519,0,1
13.22,29.89,1.0,7,1,High,Clear,60.21,26.54,1,0,4.5545,2.261,1,1
2.91,6.24,1.0,22,0,High,Cloudy,21.29,27.98,0,1,7.3162,2.1443,0,3
0.82,1.0,2.0,1,0,Very High,Clear,8.77,49.2,0,1,10.6951,1.2195,0,0
9.22,21.64,5.0,15,1,High,Cloudy,44.02,25.56,0,0,4.7744,2.3471,1,2
4.64,6.88,4.0,8,0,Low,Clear,16.23,40.47,1,0,3.4978,1.4828,0,1
1.04,1.89,1.0,12,0,Low,Rainy,4.14,33.02,0,0,3.9808,1.8173,0,2
5.47,9.21,1.0,22,1,Low,Clear,17.51,35.64,0,1,3.2011,1.6837,1,3
0.5,1.22,3.0,11,1,Low,Clear,4.19,24.59,0,0,8.38,2.44,0,1
19.2,29.56,3.0,21,0,Low,Clear,45.5,38.97,0,0,2.3698,1.5396,2,3
2.4,6.72,1.0,16,0,Medium,Cloudy,11.11,21.43,0,0,4.6292,2.8,0,2
8.69,9.74,2.0,1,0,Low,Rainy,27.96,53.53,0,1,3.2175,1.1208,1,0
2.99,7.01,2.0,12,0,Medium,Clear,11.01,25.59,0,0,3.6823,2.3445,0,2
5.87,11.56,1.0,0,0,High,Clear,28.32,30.47,0,1,4.8245,1.9693,1,0
6.33,13.43,1.0,18,0,High,Rainy,35.55,28.28,1,0,5.6161,2.1216,1,3
1.64,4.92,4.0,10,1,Very High,Rainy,15.27,20.0,0,0,9.311,3.0,0,1
11.94,23.45,1.0,0,0,Medium,Cloudy,43.49,30.55,0,1,3.6424,1.964,1,0
7.29,12.83,4.0,7,0,Medium,Cloudy,29.48,34.09,1,0,4.0439,1.7599,1,1
20.4,29.16,1.0,5,0,Low,Rainy,57.56,41.98,0,1,2.8216,1.4294,2,0
0.74,1.0,6.0,16,1,Low,Clear,5.47,44.4,0,0,7.3919,1.3514,0,2
1.75,1.33,1.0,11,0,High,Clear,7.6,78.95,0,0,4.3429,0.76,0,1
0.5,1.0,2.0,0,1,High,Rainy,9.25,30.0,0,1,18.5,2.0,0,0
3.15,6.53,2.0,2,0,Medium,Clear,16.73,28.94,0,1,5.3111,2.073,0,0
3.94,8.6,1.0,13,0,Medium,Cloudy,14.29,27.49,0,0,3.6269,2.1827,0,2
2.53,3.02,1.0,7,0,Medium,Clear,11.06,50.26,1,0,4.3715,1.1937,0,1
14.12,18.9,4.0,10,0,Low,Clear,36.32,44.83,0,0,2.5722,1.3385,1,1
3.53,9.64,2.0,13,1,Very High,Clear,21.44,21.97,0,0,6.0737,2.7309,0,2
2.64,6.33,1.0,7,1,High,Foggy,19.07,25.02,1,0,7.2235,2.3977,0,1
6.26,9.92,1.0,2,0,Low,Foggy,19.58,37.86,0,1,3.1278,1.5847,1,0
1.22,1.0,1.0,6,0,Low,Clear,6.76,73.2,0,0,5.541,0.8197,0,1
12.96,23.97,1.0,18,0,Medium,Clear,45.64,32.44,1,0,3.5216,1.8495,1,3
0.62,4.06,5.0,3,1,Low,Clear,8.49,9.16,0,1,13.6935,6.5484,0,0
11.84,27.47,5.0,12,0,High,Clear,55.76,25.86,0,0,4.7095,2.3201,1,2
1.77,4.32,1.0,19,0,Medium,Clear,10.6,24.58,1,0,5.9887,2.4407,0,3
0.5,1.0,2.0,18,0,Low,Rainy,6.85,30.0,1,0,13.7,2.0,0,3
13.52,32.66,1.0,4,0,High,Rainy,70.54,24.84,0,1,5.2175,2.4157,1,0
9.82,15.73,3.0,22,0,Medium,Clear,35.76,37.46,0,1,3.6415,1.6018,1,3
10.45,20.86,1.0,4,0,Medium,Cloudy,38.45,30.06,0,1,3.6794,1.9962,1,0
11.8,22.21,1.0,19,1,Medium,Cloudy,40.72,31.88,1,0,3.4508,1.8822,1,3
0.62,1.0,2.0,23,0,Low,Clear,5.01,37.2,0,1,8.0806,1.6129,0,3
3.55,9.63,1.0,3,0,High,Rainy,25.98,22.12,0,1,7.3183,2.7127,0,0
0.99,1.0,2.0,1,1,Medium,Clear,6.75,59.4,0,1,6.8182,1.0101,0,0
15.91,23.56,2.0,12,0,Low,Clear,39.73,40.52,0,0,2.4972,1.4808,2,2
7.81,12.98,2.0,15,0,Low,Clear,20.73,36.1,0,0,2.6543,1.662,1,2
3.21,4.09,6.0,21,0,Medium,Foggy,14.37,47.09,0,0,4.4766,1.2741,0,3
0.53,1.0,1.0,1,0,High,Cloudy,10.04,31.8,0,1,18.9434,1.8868,0,0
2.98,7.84,1.0,18,0,Medium,Clear,16.07,22.81,1,0,5.3926,2.6309,0,3
3.15,3.18,3.0,16,0,High,Rainy,18.57,59.43,0,0,5.8952,1.0095,0,2
10.46,18.53,2.0,4,1,Low,Clear,30.49,33.87,0,1,2.9149,1.7715,1,0
8.12,12.3,1.0,17,0,Medium,Foggy,31.78,39.61,1,0,3.9138,1.5148,1,2
5.11,10.58,1.0,20,0,High,Cloudy,29.22,28.98,1,0,5.7182,2.0705,1,3
1.02,3.12,1.0,17,1,Medium,Rainy,8.92,19.62,1,0,8.7451,3.0588,0,2
9.99,15.58,1.0,7,0,Low,Cloudy,27.5,38.47,1,0,2.7528,1.5596,1,1
11.44,17.25,1.0,14,0,Low,Foggy,32.37,39.79,0,0,2.8295,1.5079,1,2
6.59,14.45,1.0,12,0,High,Rainy,34.82,27.36,0,0,5.2838,2.1927,1,2
11.79,20.81,1.0,12,0,Low,Clear,29.42,33.99,0,0,2.4953,1.7651,1,2
5.45,9.72,1.0,15,0,Low,Clear,16.74,33.64,0,0,3.0716,1.7835,1,2
5.92,11.23,1.0,21,1,Low,Clear,16.88,31.63,0,0,2.8514,1.897,1,3
4.46,7.52,1.0,19,0,Medium,Clear,17.95,35.59,1,0,4.0247,1.6861,0,3
0.5,1.0,2.0,12,0,High,Clear,5.43,30.0,0,0,10.86,2.0,0,2
0.91,3.41,1.0,19,0,Low,Clear,8.4,16.01,1,0,9.2308,3.7473,0,3
0.5,1.65,1.0,1,1,Medium,Clear,7.58,18.18,0,1,15.16,3.3,0,0
8.09,12.5,1.0,2,0,Low,Rainy,26.05,38.83,0,1,3.22,1.5451,1,0
3.02,4.53,1.0,14,1,Medium,Rainy,13.78,40.0,0,0,4.5629,1.5,0,2
5.68,7.82,1.0,22,1,Low,Clear,15.59,43.58,0,1,2.7447,1.3768,1,3
19.05,27.38,1.0,18,0,Low,Clear,49.03,41.75,1,0,2.5738,1.4373,2,3
2.29,4.38,2.0,12,0,Medium,Clear,9.65,31.37,0,0,4.214,1.9127,0,2
4.23,7.56,2.0,4,1,High,Rainy,27.18,33.57,0,1,6.4255,1.7872,0,0
11.27,27.73,5.0,21,0,High,Cloudy,53.01,24.39,0,0,4.7036,2.4605,1,3
2.08,7.97,1.0,5,0,Medium,Snowy,18.47,15.66,0,1,8.8798,3.8317,0,0
0.64,1.0,1.0,13,1,Low,Foggy,4.13,38.4,0,0,6.4531,1.5625,0,2
2.74,1.95,1.0,3,1,Medium,Foggy,12.87,84.31,0,1,4.6971,0.7117,0,0
1.41,2.44,1.0,21,1,Medium,Clear,7.01,34.67,0,0,4.9716,1.7305,0,3
8.03,18.26,1.0,6,0,Medium,Clear,29.3,26.39,0,0,3.6488,2.274,1,1
16.41,32.4,2.0,3,0,Medium,Cloudy,58.53,30.39,0,1,3.5667,1.9744,2,0
13.02,26.65,4.0,1,0,High,Clear,58.92,29.31,0,1,4.5253,2.0469,1,0
1.65,1.0,5.0,6,0,Medium,Clear,8.37,99.0,0,0,5.0727,0.6061,0,1
17.85,34.28,1.0,2,0,Medium,Foggy,64.86,31.24,0,1,3.6336,1.9204,2,0
6.2,8.39,1.0,14,1,Low,Cloudy,17.27,44.34,0,0,2.7855,1.3532,1,2
13.18,27.74,3.0,0,1,Medium,Rainy,50.87,28.51,0,1,3.8596,2.1047,1,0
18.11,25.29,1.0,1,1,Low,Cloudy,44.62,42.97,0,1,2.4638,1.3965,2,0
3.06,7.66,1.0,9,0,Medium,Cloudy,14.53,23.97,1,0,4.7484,2.5033,0,1
0.93,1.0,2.0,15,0,Medium,Rainy,7.82,55.8,0,0,8.4086,1.0753,0,2
2.07,5.34,1.0,14,1,High,Snowy,14.67,23.26,0,0,7.087,2.5797,0,2
4.46,8.71,1.0,23,0,High,Snowy,30.84,30.72,0,1,6.9148,1.9529,0,3
15.77,25.8,1.0,13,0,Low,Cloudy,39.22,36.67,0,0,2.487,1.636,2,2
0.5,1.44,1.0,21,0,Medium,Clear,5.92,20.83,0,0,11.84,2.88,0,3
5.72,14.54,3.0,13,0,Medium,Clear,21.29,23.6,0,0,3.722,2.542,1,2
4.32,8.6,2.0,5,1,High,Clear,23.61,30.14,0,1,5.4653,1.9907,0,0
2.01,3.96,2.0,13,1,Medium,Clear,10.49,30.45,0,0,5.2189,1.9701,0,2
1.02,3.22,5.0,16,0,Low,Clear,6.41,19.01,0,0,6.2843,3.1569,0,2
3.3,4.29,2.0,17,0,Medium,Clear,15.5,46.15,1,0,4.697,1.3,0,2
3.12,8.58,2.0,18,0,High,Cloudy,24.45,21.82,1,0,7.8365,2.75,0,3
5.85,12.83,2.0,16,0,Medium,Clear,22.43,27.36,0,0,3.8342,2.1932,1,2
9.71,24.86,1.0,15,1,High,Clear,50.72,23.44,0,0,5.2235,2.5602,1,2
3.62,3.69,1.0,7,1,Low,Clear,13.43,58.86,1,0,3.7099,1.0193,0,1
2.32,2.03,3.0,11,0,Low,Clear,8.69,68.57,0,0,3.7457,0.875,0,1
5.5,7.9,1.0,8,1,Low,Snowy,20.16,41.77,1,0,3.6655,1.4364,1,1
2.86,8.94,6.0,13,0,High,Cloudy,19.27,19.19,0,0,6.7378,3.1259,0,2
2.68,6.08,1.0,19,1,Medium,Clear,14.88,26.45,1,0,5.5522,2.2687,0,3
0.5,1.51,1.0,0,0,Very High,Clear,9.43,19.87,0,1,18.86,3.02,0,0
7.52,12.18,1.0,9,1,Low,Foggy,24.62,37.04,1,0,3.2739,1.6197,1,1
5.59,11.52,1.0,16,0,Medium,Cloudy,19.33,29.11,0,0,3.458,2.0608,1,2
0.5,1.68,1.0,16,0,Medium,Clear,6.09,17.86,0,0,12.18,3.36,0,2
2.61,4.92,1.0,16,0,High,Foggy,16.82,31.83,0,0,6.4444,1.8851,0,2
19.11,10.58,2.0,3,0,Medium,Rainy,71.46,108.37,0,1,3.7394,0.5536,2,0
2.19,3.66,1.0,16,0,Medium,Rainy,12.61,35.9,0,0,5.758,1.6712,0,2
1.25,1.0,2.0,17,0,Low,Foggy,6.75,75.0,1,0,5.4,0.8,0,2
5.38,13.75,3.0,19,1,High,Rainy,32.71,23.48,1,0,6.0799,2.5558,1,3
2.22,4.46,1.0,1,0,Low,Cloudy,10.0,29.87,0,1,4.5045,2.009,0,0
8.92,13.1,2.0,7,0,Medium,Rainy,34.67,40.85,1,0,3.8868,1.4686,1,1
11.47,20.24,1.0,12,1,Medium,Clear,36.69,34.0,0,0,3.1988,1.7646,1,2
2.17,3.29,4.0,22,0,Low,Clear,11.13,39.57,0,1,5.129,1.5161,0,3
10.42,12.76,4.0,21,0,Low,Clear,24.72,49.0,0,0,2.3724,1.2246,1,3
3.67,8.6,1.0,19,1,High,Clear,23.87,25.6,1,0,6.5041,2.3433,0,3
8.0,12.94,1.0,21,0,Low,Clear,22.02,37.09,0,0,2.7525,1.6175,1,3
8.03,14.86,1.0,14,0,Low,Rainy,25.06,32.42,0,0,3.1208,1.8506,1,2
6.14,12.85,1.0,19,0,Low,Clear,23.11,28.67,1,0,3.7638,2.0928,1,3
0.76,1.0,1.0,22,1,Very High,Clear,12.69,45.6,0,1,16.6974,1.3158,0,3
14.43,21.41,2.0,8,0,Low,Rainy,39.37,40.44,1,0,2.7283,1.4837,1,1
3.09,6.98,1.0,2,1,High,Cloudy,19.6,26.56,0,1,6.343,2.2589,0,0
1.65,10.58,1.0,2,1,High,Clear,12.29,9.36,0,1,7.4485,6.4121,0,0
0.5,1.13,5.0,1,0,Medium,Clear,8.09,26.55,0,1,16.18,2.26,0,0
7.15,13.25,2.0,0,1,Medium,Clear,28.01,32.38,0,1,3.9175,1.8531,1,0
9.05,22.27,1.0,13,0,High,Rainy,45.42,24.38,0,0,5.0188,2.4608,1,2
0.5,3.88,2.0,16,0,High,Clear,5.99,7.73,0,0,11.98,7.76,0,2
5.74,13.61,1.0,12,0,High,Clear,25.61,25.3,0,0,4.4617,2.3711,1,2
2.05,3.79,4.0,18,1,High,Clear,13.66,32.45,1,0,6.6634,1.8488,0,3
8.29,10.58,1.0,22,0,Medium,Foggy,32.74,47.01,0,1,3.9493,1.2762,1,3
1.53,7.64,1.0,14,0,High,Rainy,14.37,12.02,0,0,9.3922,4.9935,0,2
9.39,15.9,2.0,13,0,Low,Cloudy,26.78,35.43,0,0,2.852,1.6933,1,2
3.91,8.13,1.0,1,0,Medium,Foggy,18.19,28.86,0,1,4.6522,2.0793,0,0
1.18,4.99,1.0,16,0,Low,Cloudy,8.55,14.19,0,0,7.2458,4.2288,0,2
3.34,4.69,2.0,17,0,Low,Clear,13.38,42.73,1,0,4.006,1.4042,0,2
0.96,1.0,1.0,5,0,Low,Clear,6.98,57.6,0,1,7.2708,1.0417,0,0
16.79,36.58,2.0,7,0,High,Rainy,84.85,27.54,1,0,5.0536,2.1787,2,1
2.39,5.02,1.0,1,1,Medium,Clear,12.46,28.57,0,1,5.2134,2.1004,0,0
8.63,22.75,1.0,0,1,High,Clear,42.83,22.76,0,1,4.9629,2.6362,1,0
13.6,17.05,2.0,15,0,Low,Clear,33.48,47.86,0,0,2.4618,1.2537,1,2
6.48,7.92,2.0,6,0,Low,Rainy,19.17,49.09,0,0,2.9583,1.2222,1,1
6.03,10.77,1.0,21,1,Low,Clear,16.92,33.59,0,0,2.806,1.7861,1,3
2.22,3.16,2.0,23,0,Medium,Cloudy,11.89,42.15,0,1,5.3559,1.4234,0,3
0.78,2.29,1.0,10,0,Medium,Foggy,7.12,20.44,0,0,9.1282,2.9359,0,1
18.45,36.37,1.0,12,0,Medium,Rainy,69.28,30.44,0,0,3.755,1.9713,2,2
8.02,13.74,1.0,23,0,Medium,Clear,27.74,35.02,0,1,3.4589,1.7132,1,3
3.31,1.0,6.0,1,0,Low,Cloudy,10.99,198.6,0,1,3.3202,0.3021,0,0
3.44,5.95,1.0,13,1,Low,Rainy,13.09,34.69,0,0,3.8052,1.7297,0,2
10.36,12.4,3.0,23,0,Low,Clear,25.1,50.13,0,1,2.4228,1.1969,1,3
17.45,32.63,6.0,8,1,Medium,Foggy,64.3,32.09,1,0,3.6848,1.8699,2,1
12.11,17.57,1.0,6,1,Low,Clear,31.11,41.35,0,0,2.569,1.4509,1,1
8.22,16.79,4.0,17,1,Medium,Cloudy,31.4,29.37,1,0,3.82,2.0426,1,2
0.7,1.0,5.0,23,1,Medium,Clear,7.83,42.0,0,1,11.1857,1.4286,0,3
1.41,1.71,1.0,8,0,Low,Cloudy,7.52,49.47,1,0,5.3333,1.2128,0,1
18.31,35.23,1.0,22,1,Medium,Cloudy,63.75,31.18,0,1,3.4817,1.9241,2,3
7.46,17.85,1.0,3,1,High,Cloudy,38.95,25.08,0,1,5.2212,2.3928,1,0
0.5,1.0,2.0,8,0,Medium,Clear,8.43,30.0,1,0,16.86,2.0,0,1
0.86,1.04,2.0,3,0,High,Cloudy,9.68,49.62,0,1,11.2558,1.2093,0,0
8.71,16.15,1.0,11,0,Low,Clear,22.5,32.36,0,0,2.5832,1.8542,1,1
0.5,2.99,3.0,3,1,High,Clear,12.31,10.03,0,1,24.62,5.98,0,0
1.4,2.66,1.0,23,0,Very High,Cloudy,14.48,31.58,0,1,10.3429,1.9,0,3
6.37,14.64,3.0,19,0,Medium,Cloudy,27.48,26.11,1,0,4.314,2.2983,1,3
9.42,15.64,1.0,13,0,Low,Clear,25.22,36.14,0,0,2.6773,1.6603,1,2
8.44,16.8,2.0,23,0,Medium,Cloudy,32.7,30.14,0,1,3.8744,1.9905,1,3
2.03,10.58,1.0,23,0,Medium,Cloudy,11.03,11.51,0,1,5.4335,5.2118,0,3
